,店舗,緯度,経度,cluster_id
633,osaka_A2701_A270302_27014025,34.720549,135.482801,16
634,osaka_A2701_A270302_27014228,34.720735,135.481759,16
635,osaka_A2701_A270302_27014852,34.731979,135.473684,16
636,osaka_A2701_A270302_27015288,34.728166,135.486898,16
637,osaka_A2701_A270302_27044868,34.732413,135.482079,16
638,osaka_A2701_A270302_27049133,34.719181,135.482279,16
639,osaka_A2701_A270302_27062386,34.720735,135.486246,16
640,osaka_A2701_A270302_27073319,34.719691,135.48284,16
641,osaka_A2701_A270302_27082568,34.727724,135.465435,16
642,osaka_A2701_A270302_27083645,34.719637,135.481911,16
643,osaka_A2701_A270302_27089090,34.712465,135.469407,16
644,osaka_A2701_A270302_27089141,34.719463,135.482343,16
645,osaka_A2701_A270302_27093756,34.720495,135.483153,16
646,osaka_A2701_A270302_27094145,34.714792,135.471193,16
647,osaka_A2701_A270302_27097422,34.720129,135.480886,16
648,osaka_A2701_A270302_27097472,34.721199,135.488021,16
649,osaka_A2701_A270302_27097508,34.712895,135.468214,16
650,osaka_A2701_A270302_27098747,34.719798,135.482088,16
651,osaka_A2701_A270302_27106224,34.719901,135.483417,16
652,osaka_A2701_A270302_27107382,34.719798,135.482088,16
653,osaka_A2701_A270302_27117733,34.719035,135.481432,16
654,osaka_A2701_A270304_27000719,34.721735,135.54345,4
655,osaka_A2701_A270304_27004667,34.721731,135.526104,4
656,osaka_A2701_A270304_27014328,34.723854,135.548912,4
657,osaka_A2701_A270304_27015801,34.705624,135.523089,4
658,osaka_A2701_A270304_27044400,34.721424,135.545604,4
659,osaka_A2701_A270304_27044676,34.708564,135.531453,4
660,osaka_A2701_A270304_27052710,34.727017,135.554628,4
661,osaka_A2701_A270304_27068688,34.724051,135.549864,4
662,osaka_A2701_A270304_27070474,34.719669,135.537548,4
663,osaka_A2701_A270304_27078394,34.711277,135.540792,4
664,osaka_A2701_A270304_27092639,34.724402,135.55152,4
665,osaka_A2701_A270304_27105464,34.708305,135.525645,4
666,osaka_A2701_A270304_27107608,34.708665,135.525951,4
667,osaka_A2701_A270305_27004983,34.70147,135.546018,4
668,osaka_A2701_A270305_27019543,34.705454,135.590857,17
669,osaka_A2701_A270305_27020390,34.707035,135.552623,4
670,osaka_A2701_A270305_27041874,34.700222,135.547732,4
671,osaka_A2701_A270305_27044610,34.698529,135.574931,7
672,osaka_A2701_A270305_27075344,34.688834,135.569825,7
673,osaka_A2701_A270305_27080892,34.700602,135.548234,4
674,osaka_A2701_A270305_27086945,34.690356,135.545491,4
675,osaka_A2701_A270305_27089701,34.699856,135.546083,4
676,osaka_A2701_A270305_27117675,34.699649,135.548055,4
677,osaka_A2701_A270306_27002997,34.679507,135.544193,12
678,osaka_A2701_A270306_27002999,34.678259,135.562393,7
679,osaka_A2701_A270306_27003000,34.66918,135.561669,7
680,osaka_A2701_A270306_27007807,34.668989,135.561124,7
681,osaka_A2701_A270306_27010832,34.666438,135.533468,12
682,osaka_A2701_A270306_27018405,34.662176,135.541802,12
683,osaka_A2701_A270306_27032784,34.658965,135.555796,7
684,osaka_A2701_A270306_27063763,34.668299,135.544959,12
685,osaka_A2701_A270306_27074370,34.669533,135.556746,7
686,osaka_A2701_A270306_27075334,34.648155,135.524784,1
687,osaka_A2701_A270306_27087159,34.679992,135.548665,12
688,osaka_A2701_A270306_27099659,34.661737,135.548967,7
689,osaka_A2701_A270306_27118326,34.679321,135.557234,7
690,osaka_A2701_A270307_27002613,34.752219,135.532505,13
691,osaka_A2701_A270307_27051592,34.74519,135.520267,13
692,osaka_A2701_A270307_27075534,34.74011,135.516957,13
693,osaka_A2701_A270307_27080636,34.750151,135.533268,13
694,osaka_A2701_A270307_27085302,34.739666,135.515897,13
695,osaka_A2701_A270307_27108094,34.739877,135.516155,13
696,osaka_A2701_A270401_27000244,34.664731,135.462618,8
697,osaka_A2701_A270401_27000791,34.682823,135.466806,8
698,osaka_A2701_A270401_27002654,34.666441,135.479619,8
699,osaka_A2701_A270401_27002707,34.66481,135.461569,8
700,osaka_A2701_A270401_27005212,34.670155,135.458397,8
701,osaka_A2701_A270401_27011391,34.669889,135.464234,8
702,osaka_A2701_A270401_27015118,34.674452,135.478114,8
703,osaka_A2701_A270401_27017584,34.683931,135.467696,8
704,osaka_A2701_A270401_27073333,34.670047,135.478017,8
705,osaka_A2701_A270401_27082937,34.684407,135.457482,8
706,osaka_A2701_A270401_27085993,34.666619,135.477838,8
707,osaka_A2701_A270401_27097602,34.666407,135.478465,8
708,osaka_A2701_A270402_27012202,34.639948,135.470743,1
709,osaka_A2701_A270403_27009607,34.668654,135.437596,8
710,osaka_A2701_A270403_27012903,34.668654,135.437596,8
711,osaka_A2701_A270403_27030079,34.668654,135.437596,8
712,osaka_A2701_A270404_27002854,34.614322,135.491187,1
713,osaka_A2701_A270404_27003697,34.598878,135.513211,1
714,osaka_A2701_A270404_27013396,34.608114,135.513816,1
715,osaka_A2701_A270404_27014543,34.604063,135.473087,5
716,osaka_A2701_A270404_27018219,34.622844,135.483434,1
717,osaka_A2701_A270404_27026773,34.606655,135.513668,1
718,osaka_A2701_A270404_27057397,34.612159,135.512932,1
719,osaka_A2701_A270404_27061126,34.599175,135.514842,1
720,osaka_A2701_A270404_27062863,34.599203,135.513419,1
721,osaka_A2701_A270404_27084692,34.616765,135.481225,1
722,osaka_A2701_A270404_27097495,34.618898,135.481027,1
723,osaka_A2701_A270404_27098093,34.619718,135.475027,1
724,osaka_A2701_A270404_27105005,34.606656,135.513683,1
725,osaka_A2701_A270405_27000574,34.621269,135.520394,1
726,osaka_A2701_A270405_27011913,34.617575,135.517287,1
727,osaka_A2701_A270405_27013633,34.601602,135.574196,14
728,osaka_A2701_A270405_27017206,34.628691,135.525456,1
729,osaka_A2701_A270405_27044028,34.609152,135.527216,1
730,osaka_A2701_A270405_27066234,34.618422,135.531644,1
731,osaka_A2701_A270405_27082686,34.605917,135.527259,1
732,osaka_A2701_A270405_27101059,34.619396,135.548308,14
733,osaka_A2701_A270406_27001123,34.625261,135.490581,1
734,osaka_A2701_A270406_27007738,34.635973,135.494892,1
735,osaka_A2701_A270406_27011178,34.64231,135.502224,1
736,osaka_A2701_A270406_27015387,34.634744,135.498652,1
737,osaka_A2701_A270406_27019800,34.6299,135.489383,1
738,osaka_A2701_A270406_27019822,34.635543,135.493963,1
739,osaka_A2701_A270406_27019909,34.64414,135.501064,1
740,osaka_A2701_A270406_27020725,34.647103,135.48786,1
741,osaka_A2701_A270406_27022872,34.639993,135.495196,1
742,osaka_A2701_A270406_27023255,34.646359,135.486772,1
743,osaka_A2701_A270406_27025089,34.645183,135.503218,1
744,osaka_A2701_A270406_27052519,34.626166,135.491553,1
745,osaka_A2701_A270406_27054104,34.64789,135.49007,1
