店舗,緯度,経度
osaka_A2701_A270204_27060944,34.673642,135.515211
osaka_A2701_A270204_27065032,34.671625,135.514584
osaka_A2701_A270204_27067498,34.675666,135.52098
osaka_A2701_A270204_27069769,34.67688,135.52104
osaka_A2701_A270204_27075049,34.680104,135.533622
osaka_A2701_A270204_27091926,34.67346,135.517801
osaka_A2701_A270204_27097683,34.672817,135.512361
osaka_A2701_A270204_27098304,34.674018,135.534313
osaka_A2701_A270204_27099850,34.678935,135.516919
osaka_A2701_A270204_27104212,34.674269,135.51726
osaka_A2701_A270204_27118192,34.674285,135.532861
osaka_A2701_A270205_27000561,34.662009,135.535925
osaka_A2701_A270205_27000564,34.665643,135.529408
osaka_A2701_A270205_27000567,34.66541,135.528885
osaka_A2701_A270205_27000571,34.66495,135.529872
osaka_A2701_A270205_27000948,34.668594,135.519507
osaka_A2701_A270205_27002895,34.664654,135.517296
osaka_A2701_A270205_27003709,34.66636,135.532558
osaka_A2701_A270205_27004234,34.668168,135.520009
osaka_A2701_A270205_27007886,34.666255,135.53163
osaka_A2701_A270205_27011261,34.664356,135.5195
osaka_A2701_A270205_27011359,34.66564,135.518788
osaka_A2701_A270205_27012232,34.665645,135.532742
osaka_A2701_A270205_27014595,34.66564,135.518788
osaka_A2701_A270205_27015774,34.664905,135.532512
